RuleID,SourceFile,Line,Artefact,Status,Evidence
R-c51c41fde8dc,/Users/frisowempe/ISA_D/QUALITY_SCORECARD.md,9,/Users/frisowempe/ISA_D/.github/workflows/ci.yml,PASS,25: pip install ruff mypy pytest pytest-cov bandit pip-audit radon
R-faea8c0a6e0c,/Users/frisowempe/ISA_D/QUALITY_SCORECARD.md,15,/Users/frisowempe/ISA_D/.github/workflows/ci.yml,PASS,25: pip install ruff mypy pytest pytest-cov bandit pip-audit radon
R-62b5674f465d,/Users/frisowempe/ISA_D/gemini.md,10,,FAIL,
R-6460d79d09cb,/Users/frisowempe/ISA_D/gemini.md,24,,FAIL,
R-bb2e59f85d58,/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,41,/Users/frisowempe/ISA_D/.github/workflows/ci.yml,PASS,25: pip install ruff mypy pytest pytest-cov bandit pip-audit radon
R-1a9613b3df22,/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,237,,FAIL,
R-b195ab9d09e6,/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,239,,FAIL,
R-d25ece872f47,/Users/frisowempe/ISA_D/docs/VECTOR_STORE_SCHEMA.md,10,,FAIL,
R-18792834f632,/Users/frisowempe/ISA_D/docs/VECTOR_STORE_SCHEMA.md,21,,FAIL,
R-40eea275e63b,/Users/frisowempe/ISA_D/docs/VECTOR_STORE_SCHEMA.md,37,,FAIL,
R-fad2263d458a,/Users/frisowempe/ISA_D/docs/RESEARCH_OPERATIONS.md,16,,FAIL,
R-4c4306378c14,/Users/frisowempe/ISA_D/docs/AI_AGENT_ONBOARDING.md,7,,FAIL,
R-496097b5f803,/Users/frisowempe/ISA_D/docs/AI_AGENT_ONBOARDING.md,33,,FAIL,
R-fbc69238d586,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,17,,FAIL,
R-aaa35a89051b,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,22,,FAIL,
R-f632eea427dd,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,43,,FAIL,
R-03df19646c9a,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,50,,FAIL,
R-ae7d57080c6e,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,59,/Users/frisowempe/ISA_D/.github/workflows/ci.yml,PASS,25: pip install ruff mypy pytest pytest-cov bandit pip-audit radon
R-d94261f042ae,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,66,,FAIL,
R-549e10fa406b,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,69,/Users/frisowempe/ISA_D/.github/workflows/ci.yml,PASS,25: pip install ruff mypy pytest pytest-cov bandit pip-audit radon
R-cec3f22c4a90,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,80,,WARN,
R-f735c039e15e,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,88,,FAIL,
R-7b914e9aa844,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,11,/Users/frisowempe/ISA_D/.github/workflows/ci.yml,PASS,25: pip install ruff mypy pytest pytest-cov bandit pip-audit radon
R-53af647a56a4,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,12,,FAIL,
R-5b46b44db252,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,13,,FAIL,
R-7f4c1771020f,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,14,,FAIL,
R-21dd01899166,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,15,,FAIL,
R-17febb105ca8,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,16,,FAIL,
R-147afed63a9a,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,18,,FAIL,
R-19ed973fb163,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,19,,FAIL,
R-074486b9b35f,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,20,,FAIL,
R-1d2aba4b2318,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,21,,FAIL,
R-205ccc4c8db7,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,22,,FAIL,
R-697c426bb4fe,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,23,,FAIL,
R-fb0a11ffc79a,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,24,/Users/frisowempe/ISA_D/.github/workflows/ci.yml,PASS,25: pip install ruff mypy pytest pytest-cov bandit pip-audit radon
R-2717efde47b8,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,27,,FAIL,
